Protein_Accession,Gene_Name,Protein_Descriptions,Protein_Name,Number_Unique_Peptides,NR_1.Post_1,NR_1.Pre_2,NR_2.Post_3,NR_2.Pre_4,R_16.Post_5,R_16.Pre_6,R_17.Post_7.,R_17.Pre_8,NR_3.Post_9,NR_3.Pre_10,R_18.Post_11,R_18.Pre_12,R_19.Post_13,R_19.Pre_14,R_20.Post_15,R_20.Pre_16,R_21.Post_17,R_21.Pre_18,R_22.Post_19,R_22.Pre_20,NR_5.Post_21,NR_5.Pre_22,R_23.Post_23,R_23.Pre_24,R_24.Post_25,R_24.Pre_26,NR_6.Post_27,NR_6.Pre_28,R_25.Post_29,R_25.Pre_30,NR_7.Post_31,NR_7.Pre_32,NR_8.Post_33,NR_8.Pre_34,R_29.Post_35,R_29.Pre_36,NR_12.Post_37,NR_12.Pre_38,R_30.Post_39,R_30.Pre_40,NR_13.Post_41,NR_13.Pre_42,NR_14.Post_43,NR_14.Pre_44,NR_15.Post_45,NR_15.Pre_46,R_26.Post_47,R_26.Pre_48,R_28.Post_49,R_28.Pre_50,NR_10.Post_51,NR_10.Pre_52,NR_11.Post_53,NR_11.Pre_54
P62328,TMSB4X,Thymosin beta-4,TYB4_HUMAN,8,10185.99316,27598.02539,7861.440918,5673.913086,118237.1719,68948.58594,22954.47656,13082.22168,225934.4219,266211.3125,48113.20703,32983.14453,130544.7031,112999.7109,184657.0469,113983.2969,42796.36328,8470.137695,15078.97266,21550.80469,84454.32031,151306.4844,9711.775391,37190.04688,26435.51758,27387.58008,26994.77344,28780.84375,8261.200195,38361.89844,15169.4248,17651.87695,37155.41016,7293.267578,69473.34375,191421.5938,53353.15234,57192.26172,9852.526367,18283.00195,7596.706543,34244.5,8076.314453,21460.38672,84539.53125,16988.23438,4469.264648,19991.94141,13248.61328,12653.95898,8805.458008,27127.67188,2556.159668,34428.23828
Q99536,VAT1,Synaptic vesicle membrane protein VAT-1 homolog,VAT1_HUMAN,19,40186.02344,39654.375,13535.4082,35233.65234,21856.66211,45924.44141,76870.47656,79605.88281,61222.01953,105621.1328,16241.96875,25977.36133,61225.78125,36031.89844,59148.52734,53320.20703,48725.49219,61085.57813,45125.42188,136947.9688,39426.11719,66741.75781,47175.36719,109257.4375,28143.38867,27447.43359,68181.10938,82819.26563,17596.34766,89185.03125,18798.51172,16017.43945,55270.00781,33316.60547,40505.75781,37236.65625,36338.33203,76455.14844,47564.24609,55021.85156,38390.86328,49451.48828,46801.26172,70846.71875,69175.9375,99737.28125,36196.80469,77891.85938,78833.13281,32135.37305,55541.50781,195450.875,22213.51367,40026.76563
P60953,CDC42,Cell division control protein 42 homolog,CDC42_HUMAN,8,34257.96875,47485.58203,8315.179688,23779.53906,40372.55078,61033.05469,99252.70313,100201.6641,71516.38281,90652.91406,22204.9707,36016.68359,75931.96094,23551.42188,45369.4375,62674.14844,52614.52734,77376.10938,45151.64063,92161.91406,28284.5,57152.77344,54242.89844,98945.5,20142.38672,19550.13672,96188.5625,71892.26563,33842.09766,105292.0938,27805.41602,23679.25781,73747.9375,33476.49219,40171.94922,23168.70313,35872.55469,52914.57422,64338.13281,63574.04688,34953.25391,42524.21484,39722.53906,56862.04297,81018.60156,112197.6016,49033.23047,91376.11719,59077.76563,22099.65234,62242.25,164496.8906,26181.84375,36473.07813
P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,ROA2_HUMAN,19,47593.25781,20193.27344,13536.88574,25336.38867,34497.24609,140866.5781,69158.65625,99110.4375,82897.72656,168574.1094,32619.4043,17951.71484,64676.94922,31350.66797,69128.21094,102459.8359,76876.22656,45140.50391,37214.02344,80651.6875,21862.04688,86387.01563,56024.17578,103431.3984,17163.11523,26482.0625,62379.98438,78940.0625,37062.70703,90808.35938,11442.90723,12435.44629,113575.3828,23456.32813,32064.23242,25030.40625,19885.67188,52360.64453,29566.75,44956.62109,36036.83594,49550.06641,36319.64844,54362.86328,66535.22656,69063.16406,29028.375,72452.67188,82131.11719,24416.53125,35739.46484,127396.3672,17273.72461,63524.66406
Q15907,RAB11B,Ras-related protein Rab-11B,RB11B_HUMAN,13,43113.75391,61905.42969,12131.99512,29246.10938,31169.3418,75754.27344,114431.0781,66324.03125,56965.16016,90237.57813,38035.19922,35401.05469,71857.66406,28840.48438,42581.9375,49229.21094,68727.4375,73513.77344,48403.57422,77603.84375,32341.35547,77645.51563,43745.41406,77963.45313,29609.20898,29519.62891,70042.19531,64146.10938,37059.72656,72314.52344,33347.19141,33259.96094,68443.46094,23224.66406,37140.48438,50368.21875,28223.90234,36507.70703,54271.01172,67845.79688,43001.15234,45078.85547,41293.17188,44289.55469,71976.55469,83615.21875,50407.98438,69161.22656,111321.3203,32338.93945,57730.55078,138448.0938,24656.98047,39843.83203
Q06828,FMOD,Fibromodulin,FMOD_HUMAN,8,20304.69922,28013.46875,19128.24219,28384.48633,33326.08984,49858.25781,80438.96094,107224.1953,83750.58594,82746.39063,4070.76416,33000.83594,113067.7031,79949.50781,85391.26563,42922.40234,125199.3672,58860.54688,83950.07813,76247.64063,22792.74609,9906.321289,53856.54688,32768.08203,13217.51074,18772.70313,64918.19922,31918.2832,53826.41406,155283.3438,4308.166992,4529.422852,41636.20313,52574.32813,63246.98047,15742.09375,71496.30469,76049.82813,26236.97266,28249.39844,47091.08203,33021.69531,34331.47656,45667.92188,61722.87109,79543.40625,60636.41406,39392.50391,13878.83008,41876.12109,69174.78906,320043.6563,36934.99609,30600.81055
O75874,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic,IDHC_HUMAN,23,35206.75,32650.36914,15611.2168,26132.70313,32118.41406,97589.85938,88067.41406,100123.1875,51993.14844,104335.2813,23204.02148,43534.39063,64488.77734,24192.4707,56991.08984,74539.34375,55112.93359,73729.00781,37611.53516,96953.19531,32523.41016,53538.96875,60452.71484,92608.04688,20155.54297,23396.55664,79106.71875,83458.72656,36792.28516,86232.40625,9429.043945,12986.07031,50575.06641,30280.76758,38443.78516,30132.09766,25655.54688,63538.05859,41368.63672,54280.45703,50184.61328,48160.47656,37248.37109,69276.46094,73027.78906,109498.9688,33595.79688,82278.40625,57397.37891,31638.15039,50819.80469,139732.7344,17319.51563,41761.22266
P02751,FN1,Fibronectin,FINC_HUMAN,75,59270.68359,60634.98047,4803.214844,28802.88281,268862.4375,111310.9766,41560.35156,43284.13281,36624.23438,53618.32422,81500.14844,31870.7793,16046.30859,51176.53125,93975.77344,82341.04688,31207.38086,15701.31641,11993.68457,12842.79492,130461.6094,52933.34766,43090.8125,22927.65234,8058.056641,9570.364258,77168.99219,21932.11523,52180.87891,222365.7969,6600.10498,8432.396484,145067.2031,39365.73828,30207.87695,20422.44727,16923.21875,102495.6563,47226.60156,36195.51172,9805.849609,31900.67383,12879.13867,26297.62109,28308.00781,81152.89063,19682.46289,10302.71094,34337.16016,61314.79297,32288.59375,77139.04688,27936.63477,68911.51563
Q14624,ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4,ITIH4_HUMAN,37,38133.28516,24762.3457,6343.223145,26166.13281,21696.23242,51459.45313,36034.32813,47274.15625,38610.87109,54885.03516,56428.4375,26881.26367,17638.67578,32710.45898,33036.53906,36978.43359,28878.72266,9710.27832,14142.52637,20491.73047,158671.3906,56839.29297,26842.77148,29625.60742,10476.09863,10568.73828,106833.5234,34692.66797,49833.32422,288269.7813,8949.213867,7483.054688,249954.9063,66535.875,40289.01172,18447.82422,34456.46094,229015.75,16817.43164,15454.94629,21578.50195,70132.20313,8873.972656,19655.53516,28428.53516,140320.6875,29410.9082,15327.84668,18801.17188,25724.86328,31273.40625,84558.13281,25805.04102,74475.33594
Q14956,GPNMB,Transmembrane glycoprotein NMB,GPNMB_HUMAN,2,7663.935547,11012.80371,35700.75,82999.10938,7719.51416,28358.74414,35699.32031,104752.6484,17063.19531,51863.20703,2781.594727,9359.371094,42472.76172,9764.329102,37406.93359,33389.86719,17306.38672,96048.64063,44242.22656,341205.0938,2167.882568,74644.03125,23635.48633,96311.42188,3281.178467,2802.511963,16656.61719,55352.55078,7524.082031,23179.08984,2512.669189,4790.482422,17924.9375,9767.297852,15358.09473,25439.05273,5522.030273,17358.50391,45582.50391,77801.00781,36772.59375,42357.48047,120792.6563,136000.5625,27622.25781,39170.95313,25365.25781,246792.7656,181295.1406,15262.49414,32849.91797,226902.8438,8156.856934,29970.25586
P11217,PYGM,"Glycogen phosphorylase, muscle form",PYGM_HUMAN,9,62401.25781,76662.82813,22852.43555,45997.88281,25761.38477,60036.94141,99705.71875,58082.63281,35871.07813,68463.72656,22614.61719,35061.875,32343.58594,45246.84766,34331.37891,33258.63672,85556.1875,33191.59766,55374.21484,58706.6875,78762.57031,68758.17969,47923.28125,59355.57031,58314.33594,63178.29297,39213.76563,36974.80469,29259.98438,159914.2188,52625.67188,46402.01172,92257.67969,30704.66992,41627.75781,58031.52344,19024.18945,28940.33398,34794.76172,31783.01367,33661.05078,50844.86328,40437.23047,54245.72656,34180.41797,44173.38672,52952.49609,53306.6875,123160.125,43949.40625,50751.56641,125843.6094,28510.61914,30098.40625
P01019,AGT,Angiotensinogen,ANGT_HUMAN,15,29450.63867,26572.11719,5717.347656,38553.24219,46770.00781,73234,35347.29688,35638.29688,31047.77344,51644.12891,7003.26416,33497.56641,15804.56738,26300.18164,36724.92188,26485.26563,26480.25,16267.37305,24129.44531,36252.82422,316891.4375,138604.0781,29162.6582,35548.21484,4252.372559,6094.151855,68062.09375,35592.62891,56328.5,313399.4375,3382.805176,6423.754395,229590.7188,120815.1172,37571.03125,4785.786621,14830.68555,54465.39844,32054.95117,43782.53516,84458.89063,163408.5469,7400.95166,15233.48242,31807.96484,78225.92969,14677.51465,16185.18164,13287.3457,19241.67773,40496.60156,74722.32031,31254.02539,61739.05859
A0A0J9YX35,IGHV3-64D,Immunoglobulin heavy variable 3-64D,HV64D_HUMAN,2,54241.89453,81819.10156,17407.18555,94280.5,48929.98828,33276.89844,134684.0938,71782.83594,86195.6875,128882.9297,8125.810547,81987.42969,29416.96289,81097.16406,24686.21094,26314.1543,101241.4922,88825.34375,36322.37891,51257.55859,43264.80859,35069.64063,69049.84375,55376.58594,17776.10742,35510.99219,86140.92969,72594.39844,26152.73438,132613.2656,73155.32031,132350.4688,101998.2578,106678.7656,35881.89453,52961.98047,29485.83984,23609.22461,62549.48047,80098.4375,5462.591797,13816.24414,24178.2168,31690.29102,37588.37109,20431.26758,71154.4375,19526.06641,44415.3125,14892.68652,28486.89844,33056.53906,16813.66992,15210.48535
A0A0B4J1V0,IGHV3-15,Immunoglobulin heavy variable 3-15,HV315_HUMAN,6,23726.21875,59297.60156,16491.09961,38946.07813,51336.03906,24277.95117,53859.53906,26388.35156,51079.53125,71534.57813,9918.00293,23054.25391,53449.3125,47332.15625,69977.48438,52669.10547,104716.5313,78022.64844,33793.96484,31613.70313,68701.21094,31745.4707,69729.84375,65800.69531,13615.56641,18729.07813,111718.8906,59995.68359,99715.875,228098.2188,60441.94531,107015.7813,60214.16797,50409.54297,46479.08984,60069.14844,48275.32422,66697.10156,49166.16016,48099.61328,43353.45313,55808.76953,15344.94238,30349.23828,29462.05664,27720.33789,42147.57422,42336.70313,45035.18359,35550.46875,64174.25,72401.50781,74666.08594,48260.37109
P01602,IGKV1-5,Immunoglobulin kappa variable 1-5,KV105_HUMAN,2,4861.058105,47724.98047,9433.042969,13185.47852,14625.33789,41776.02734,67818.59375,33896.97656,12090.56934,51759,4820.165527,19667.86328,106934.7578,14349.12891,29195.17383,7182.899902,206183.3281,86094.07031,82773.10938,88266.71875,46826.22266,33579.27734,53214.125,63938.58984,5786.834473,5603.115234,69302.38281,56167.32031,86723.33594,183844.9688,84622.11719,117889,75120.08594,32457.78711,103136.7969,27587.16602,27107.72461,26812.14648,12318.24121,50154.03125,26223.5625,56255.26172,26533.04492,82461.23438,23270.85547,57665.83203,71271.17188,40891.25781,71711.44531,61033.12109,74699.9375,111690.8516,92719.52344,66034.0625
Q14847,LASP1,LIM and SH3 domain protein 1,LASP1_HUMAN,15,29656.63672,31326.25586,9607.619141,22362.10938,42209.90625,62123.50781,70617.29688,76542.04688,76760.27344,107849.0625,12538.1377,19356.28711,65345.99609,26067.99609,65952.70313,65387.82422,49263.05859,65355.85547,29133.79297,88888.61719,17939.84766,51985.33984,41430.21875,131581.3906,9042.818359,12693.51563,78223.60156,87982.83594,29831.33789,119208.2578,10001.24609,16394.27148,61351.09766,20632.14648,35731.29297,21042.39844,26445.41406,56154.80469,54540.08594,75475.51563,43571.64063,47107.47656,46326.92188,99396.82031,84344.86719,88220.05469,34957.39063,95484.15625,42606.78125,20058.57813,37450.74609,112393.4609,20926.38477,47504.37891
Q96BQ1,FAM3D,Protein FAM3D,FAM3D_HUMAN,10,22517.79688,14040.29004,27131.42969,31761.02148,36193.0625,42796.42578,122274.3672,106451.1094,61646.46875,57887.47266,5902.98291,55447.71875,92407.82813,69171.29688,70663.11719,42247.29297,52066.48438,62807.3125,105437.1875,75406.41406,36727.67578,16575.46875,43105.32813,31147.28711,17003.40039,21202.66406,117556.9141,70453.50781,43171.02344,149100.75,2504.137695,8239.625,37232.73438,52148.18359,35477.41016,9781.078125,44600.70313,71913.15625,18700.95117,21517.66602,54946.32422,93684.07813,18572.88086,32921.15234,68212.13281,60346.52734,39190.9375,44201.77734,47399.20703,89608.49219,47031.39844,160132.7031,30518.09766,30169.25586
P62826,RAN,GTP-binding nuclear protein Ran,RAN_HUMAN,9,38475.48047,37772.87109,12746.83789,23088.07422,26227.78711,79750.60156,95285.28125,82133.95313,41534.37891,93889.03125,61869.79297,34210.93359,59104.41406,33263.09375,37335.34766,51279.23438,77112.84375,38073.80859,39804.375,82365.4375,40480.98047,67614.50781,49285.46484,76805.25,36411.39844,37298.45313,66522.10938,62039.89063,39417.32422,97225.85156,25670.875,20789.75,89863.39844,30556.80469,33875.125,66149.60938,19218.7832,21455.92578,37853.64844,40916.76953,36801.49609,46780.29297,35759.48828,50834.41406,54874.0625,67777.5,31659.36133,53702.72656,83730.66406,35238.8125,47865.67188,152189.0938,21350.13867,32059.69727
Q16270,IGFBP7,Insulin-like growth factor-binding protein 7,IBP7_HUMAN,13,13549.20313,40834.53906,3730.270264,9747.552734,66910.98438,20054.96875,118520.8125,37166.00781,81853.34375,88008.45313,5847.936523,27341.07813,73937.77344,11906.37305,126896.9766,62726.37891,62385.13672,72064.10156,63519.79688,35061.34375,10105.94922,5536.799316,61103.72266,58868.48828,2137.353271,1913.989868,114429.7813,53454.60547,41751.11719,118584.5781,21517.27148,58881.99219,34729.10938,57923.92969,58859.68359,29337.97656,79316.07813,45011.86328,120948.0547,121827.1172,61486.95313,32041.5293,6166.318359,21065.42578,133178.4844,51846.37891,34317.47656,19586.16406,18866.94922,36092.98047,67093.17969,79602.63281,51187.44922,53472.80469
Q96PL1,SCGB3A2,Secretoglobin family 3A member 2,SG3A2_HUMAN,6,50079.25781,82187.17188,6128.455078,22781.92969,87466.32031,199035.4844,89346.10938,189002.9375,53559.89844,35603.52344,5271.462402,78970.60156,50966.58984,15954.69531,12892.36719,30360.4707,61065.26563,60104.14453,130181.8047,175730.5313,8953.493164,11087.20117,48162.10938,90201.24219,5378.913574,7245.131348,67050.49219,39097.01953,43304.46875,158344.5156,21701.40234,21082.33789,81397.77344,9234.49707,104965.3672,5394.342773,50912.67578,37237.02344,22925.00977,59531.30469,23240.26953,29482.79492,19547.43555,22256.92969,64533.39063,76887.60156,15117.8457,77928.50781,13542.63184,13764.2334,31384.90625,136970.4844,8298.251953,25389.43359
P06899;P23527;P33778;Q16778,H2BC11;H2BC17;H2BC3;H2BC21,Histone H2B type 1-J;Histone H2B type 1-O;Histone H2B type 1-B;Histone H2B type 2-E,H2B1J_HUMAN;H2B1O_HUMAN;H2B1B_HUMAN;H2B2E_HUMAN,2,26238,24037.60156,18199.55078,27496.9707,11375.22363,40081.98047,147733.9531,47081.66797,34794.6875,9263.262695,98290.59375,26194.80859,80136.57813,77288.5625,12708.16895,7832.182617,46276.76172,15849.58594,27477.97852,18134.47266,125592.8359,265760.1875,18679.65234,11922.61719,108958.9063,51808.44922,25404.0957,16576.61719,25740.83984,108051.2422,27873.89258,34298.45313,86813.42188,4153.434082,29062.24219,165275.0469,9787.106445,4252.315918,15197.14453,5610.276367,8060.006836,63783.60156,43440.59375,26801.60352,14623.47461,8271.893555,56950.44922,18558.18945,282687.375,63946.76172,34239.64063,177761.625,20355.11719,17108.9082
P0C0L5,C4B,Complement C4-B,CO4B_HUMAN,5,27768.69336,33012.29297,4646.152832,17639.1875,77486.73438,85616.39063,83328.72656,65378.12109,63661.40625,72339.4375,16795.22852,26785.00586,59507.30078,35185.80078,77937.79688,66638.0625,62041.53516,37548.58984,41743.80078,80243.75,49457.15625,29914.02539,76997.28906,139282.2813,1710.428467,4285.864746,62914.24609,34686.18359,50281.17969,198602.7969,23211.75391,32270.33789,88938.26563,52834.82422,48123.60156,20074.64063,53557.40234,147927.5625,26575.22461,30941.8457,34678.97266,34879.43359,6359.916016,11753.85254,44643.66797,83115.32813,21906.85938,30931.23438,30389.67773,38080.53906,51671.14453,95970.40625,38388.58203,63448.91016
P02747,C1QC,Complement C1q subcomponent subunit C,C1QC_HUMAN,4,49053.67578,35356.42969,4750.038086,25425.95703,38726.66016,114888.125,34112.4375,67948.17969,29027.60352,58357.40234,42525.60547,28417.18164,13863.29785,42335.40234,35321.76563,39610.79297,28404.03125,28581.26367,29370.00195,63773.69531,92217.21094,53902.39844,37176.51172,59437.93359,6564.708008,7252.849121,107577.7188,79345.40625,41975.63672,256893.4375,6043.408203,18413.28906,142515.6094,34134.96484,47649.85547,34339.78125,18102.34375,75760.5625,41923.01953,40478.87891,18416.77344,41869.30078,12842.6875,27682.61133,30866.87109,115628.3984,28283.65234,39738.36719,23799.13477,28143.01367,50701.72656,104844.5938,28399.08594,53537.83594
P62258,YWHAE,14-3-3 protein epsilon,1433E_HUMAN,21,25541.76953,62012.38281,10020.81348,14383.11523,55408.65625,136937.9844,74166.625,50937.63672,88693.5,151582.4063,23365.125,55166.58984,99683.41406,32732.67188,89290.57813,84620.78125,57160.20703,60042.50391,46799.17188,44638.24219,28806.58398,61149.98438,41958.16016,69275.82031,18966.44531,18990.72852,37691.35938,32526.48828,23160.33789,48977.88281,10262.10938,10166.26074,43575.5,15485.39746,56076.99219,31084.25,36228.91406,66287.32813,50718.03516,64902.53516,30486.82227,57394.86719,15519.0332,27887.96875,105923.5469,67721.89844,27967.63867,38665.0625,40589.48438,14747.62207,54214.83203,90558.03906,8615.878906,59866.73438
P06753,TPM3,Tropomyosin alpha-3 chain,TPM3_HUMAN,7,34630.0625,34844.14453,21802.76172,18025.76758,49215.08594,50178.22656,62071.96094,47085.46094,64950.47266,80315.36719,66427.17188,25428.15625,66280.64844,38653.74609,57258.09766,53292.01953,59576.36328,37892.70313,48335.13672,54518.14844,48821.62109,72979.26563,49677.44922,73187.40625,33871.91797,26249.26953,49022.24609,44065.39844,30895.0957,133603.3125,25895.56055,20824.24023,87194.32031,17590.82227,43033.25,84696.97656,32215.00391,52782.34375,43635.85156,40657.28906,38294.49219,57202.31641,23353,49506.14453,45342.875,47429.24219,34946.24219,50851.10547,80745.89844,36527.70313,30591.96484,135428.5156,20737.20898,38899.38281
A0A0C4DH36,IGHV3-38,Probable non-functional immunoglobulin heavy variable 3-38,HV338_HUMAN,2,57635.875,148477.6406,13768.68457,58767.43359,29907.60547,25726.49219,98108.58594,39138.80469,61362.14844,92522.64063,30265.3125,34777.58984,28767.79102,43896.25391,68142.49219,69549.47656,104425.9609,58483.64844,62654.17188,62184.60156,40446.9375,28962.79102,57723.03125,49718.40234,10934.07617,9429.929688,54790.35156,25668.88281,42309.28516,88077.59375,129805.1563,139373.4688,107888.1172,62927.99609,40196.10156,83771.27344,22618.98242,25611.12695,40246.30859,37825.76172,48006.41016,24260.55469,7153.244141,18211.83398,35830.35547,35975.07813,27865.93359,35160.10156,36598.39063,30334.20898,40685.92188,52165.21875,38132.19922,22806.09375
P32119,PRDX2,Peroxiredoxin-2,PRDX2_HUMAN,8,32230.66797,39565.29688,24295.25,15533.92578,29311.16016,107242.7422,75952.91406,80191.19531,51278.42188,90946.75781,20742.04883,47780.07031,67905.82813,35501.47656,42792.03125,53570.05859,33619.62109,39147.82813,40875.90625,64621.29688,62001.3125,83590.9375,55613.32813,55340.46094,66350.6875,45363.25,63260.75391,39375.58594,40336.74219,76174.71875,12566.74609,13799.15137,42312.52344,44060.94141,41055.93359,25501.83398,27014.49609,48270.21094,25460.01758,32835.25781,35184.29688,58235.22656,30872.25,42292.38672,51359.30469,75741.98438,33405.92188,51872.78125,79185.89844,28002.64258,69500.33594,139368.125,20025.48242,32454.38281
O15511,ARPC5,Actin-related protein 2/3 complex subunit 5,ARPC5_HUMAN,7,35628.35938,56405.55078,9892.674805,33871.05469,35638.82422,48898.43359,64671.88281,43110.87109,57797.39844,77422.48438,89571.96875,34773.50781,50101.94141,37814.82813,52710.09375,47303.04297,75868.92969,39386.14453,33211.52734,63556.69141,66029.71094,75945.67188,33077.38281,76622.07813,22142.82422,30378.85742,41334.48828,39598.28516,22598.91797,114851.4063,36704.13672,34930.87891,96799.66406,22677.5918,49897.07422,119524.6094,29659.43359,45407.04297,37459.46094,48554.19922,36428.72656,49498.88672,23174.19336,39318.14453,56300.71875,50618.42188,33096.10547,33482.19922,40529.22266,30717.0957,37721.30469,107795.9141,14262.23926,41137.70313
P30626,SRI,Sorcin,SORCN_HUMAN,8,23676.76953,63889.24219,2464.594971,7560.650391,67018.73438,196373.625,64278.60938,58548.37891,123321.3984,193840.7344,18086.84766,72052.91406,191761.5625,25223.43555,77795.77344,109829.8672,54631.76563,48213.87109,41381.69531,46626.22656,17881.25977,34873.11328,39120.95313,43675.32422,2731.797363,2730.15918,45868.39453,29338.54492,13742.80859,25845.88086,7633.722656,7567.945801,18766.6875,8690.056641,62755.4375,22906.20898,60754.59375,101035.5859,38147.14453,53670.62109,23364.92773,29097.83984,11593.19434,21801.94922,107954.7422,71611.28125,32600.54297,44322.36719,15474.83594,14561.72363,44060.96094,70710.35938,12294.25391,63604.30859
Q13885,TUBB2A,Tubulin beta-2A chain,TBB2A_HUMAN,5,45363.44141,45504.05078,17551.13867,31903.96875,52991.90625,89199.25,83710.78125,98633.64063,58787.64453,101172.7891,13832.9043,30202.03906,78589.30469,22259.9082,82476.78125,66563.10156,85925.91406,47929.14844,45164.42969,122696.7813,21226.72266,60571.80078,45571.03516,88421.07813,39342.85938,20058.15234,57569.99609,66459.69531,49730.80469,90250.74219,11296.22656,13389.88379,33094.05859,25898.14648,38991.88281,8994.070313,23988.54492,55235.97656,35753.59766,42810.79688,34818.99609,52883.64063,24048.3457,59591.10547,52260.34766,61753.30078,22206.77539,53433.47656,77554.28125,30660.10742,36722.53516,142443.4375,23059.78711,41113.07422
P46940,IQGAP1,Ras GTPase-activating-like protein IQGAP1,IQGA1_HUMAN,78,37110.50781,50530.5625,12493.53027,26680.12695,24256.58203,55943.16797,83292.04688,68801.16406,52970.16406,87038.8125,27531.48633,31860.30664,61490.59375,24304.03125,38432.02344,42299.81641,62858.31641,61894.36328,44738.35156,85220.28906,28864.34961,58918.69141,45197.61328,97882.53906,30630.45898,22932.76563,66996.74219,63883.35547,25043.74414,82488.53125,22243.55664,23129.79688,67396.89844,24376.11523,39913.92969,38945.40625,20413.22461,34269.76172,46686.12891,53006.28906,38468.54297,39836.24219,39494.71484,60613.51953,60163.65234,80263.97656,40460.67578,80274.34375,83694.3125,19519.27148,56187.53906,147821.7969,26273.38086,46048.81641
P01599,IGKV1-17,Immunoglobulin kappa variable 1-17,KV117_HUMAN,5,42831.68359,25546.07422,11445.39941,22326.60742,33757.32422,18953.40625,49331.07813,24771.49023,53188.46484,44752.98047,18870.32617,25897.39258,40464.33984,38045.51563,107307.5469,41024.27734,60056.23047,64858.91406,46639.82813,47201.13672,75144.6875,47090.34766,58906.37109,64164.19141,2896.795898,5561.61084,69262.02344,49235.25,89581.375,299924.4688,57546.92188,75690.17188,95367.32031,67770.39844,63975.05859,72764.5,65399.0625,90180.92969,9454.449219,8209.908203,34198.78125,35174.98438,15440.19238,25476.68164,41625.49609,36284.92188,60314.80469,53400.51172,32159.16016,24428.23828,37561.69531,50792.875,35888.07031,38559.83594
P02649,APOE,Apolipoprotein E,APOE_HUMAN,25,36391.41406,20349.35156,6379.552734,35185.83203,48683.45703,51195.18359,41912.92188,83644.69531,57248.15625,48814.88281,50612.19141,38891.80469,42601,31493.13086,43925.85938,44729.93359,18930.91406,38937.82422,26632.36523,113771.9297,129867.9766,89196.20313,48797.66797,73144.14844,4626.122559,7662.268066,62880.20313,40002.90234,34541.10156,121675.1563,4160.61377,6750.036621,59446.71875,4823.265625,52909.04688,20329.29297,27061.17969,103212.2031,43499.28906,46507.21484,30757.625,44828.75391,13944.23828,31518.02148,38036.08594,70642.19531,24419.23242,33257.78125,11189.14551,19398.8418,41520.89453,70307.55469,10002.91113,78270.39844
A0A0B4J1Y9,IGHV3-72,Immunoglobulin heavy variable 3-72,HV372_HUMAN,6,41582.38672,55558.51953,17624.92969,22588.32813,29781.01172,33261.73828,53617.44141,32363.75781,35189.47266,57237.52344,11028.43457,25376.73633,39241.23438,30698.92188,34855.82422,39521.53125,103326.3828,45440.32031,44588.67188,30300.50391,47475.20703,39634.25781,69995.44531,51981.33203,17698.70508,26622.18945,65039.76563,37701.51953,55270.26953,206516.9844,39133.60547,65245.65234,76516.96875,58310.80859,37365.99609,31492.625,60976.41406,63754.99219,56657.80469,64070.40234,18829.87891,41778.44141,30506.88477,51317.28906,56635.47656,62351.22266,39232.54688,40516.98438,41969.62109,28997.11328,56709.77344,73304.55469,98279.85938,50602.86328
Q6UXY8,TMC5,Transmembrane channel-like protein 5,TMC5_HUMAN,28,29567.36133,64144.00781,9694.400391,19105.00195,42357.21484,31030.56836,109334.9141,72297.25,77512.52344,78647.91406,7640.347168,35308.36719,70611.48438,16444.07617,74024.10938,61919.01563,65026.26953,102164.1406,49642.28516,48362.37109,7837.713867,11062.70313,46591.41797,77907.78906,2164.662598,5038.625488,90845.67188,62284.86719,47522.08594,103034.1953,35281.87891,57181.35547,41300.125,33387.39063,41890.75781,36617.03906,30446.29688,41871.78516,62891.14844,70336.60156,54861.87109,31230.10352,20557.26758,47247.03906,64058.21875,75557.85156,52254.44141,67986.11719,34807.38281,21607.30664,67690.51563,111385.4844,35529.42188,32527.66406
P02792,FTL,Ferritin light chain,FRIL_HUMAN,9,16745.3457,38255.52344,15197.20508,22151.73828,49245.97656,79201.15625,43150.54688,71576.01563,53159.60547,248236.8438,41907.23438,19461.46484,96922.17969,18009.19922,36802.75391,35862.625,48985.63672,36967.67578,33447.05859,98725.75,16595.51367,163500.0156,35105.00391,180463.2344,13070.28906,11023.77734,29599.71875,48088.73438,15896.58398,58859.48047,15006.44141,17430.67578,30587.27148,16161.75391,38349.48047,103488.6484,36519.34766,51247.29297,48239.91797,63046.21875,22240.31836,45411.19141,25687.61914,47545.4375,46109.98828,51712.05469,16406.14063,43608.01563,30552.04297,14691.33984,34399.83984,84000.60156,14739.79102,33890.71875
